,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TCGA.AZ.4323.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6294.01,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.A6.5657.01,0.0,0.2,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,-0.20000000000000007,-0.20000000000000007,-0.19999999999999996,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6311.01,0.0,0.25,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
TCGA.DM.A1DB.01,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6168.01,0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.16666666666666674,0.16666666666666674,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0
TCGA.A6.6142.01,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6674.01,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.0,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.0,0.0,-0.11111111111111116,-0.11111111111111116
TCGA.DM.A28G.01,0.25,0.25,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.5,-0.5,-0.5,-0.5,-0.25,0.0,0.0,0.0,0.0
TCGA.A6.5667.01,0.0,0.25,0.5,0.25,0.25,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.A6.6138.01,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.D5.6538.01,0.0,0.0,0.0,0.0,-0.1428571428571429,-0.1428571428571429,-0.1428571428571429,-0.1428571428571429,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,0.0,0.0,0.1428571428571429,0.1428571428571429
TCGA.CM.6166.01,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0
TCGA.F4.6855.01,0.0,0.0,0.19999999999999996,0.4,0.4,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6321.01,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
TCGA.AM.5820.01,0.0,0.0,0.02941176470588236,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.029411764705882346,0.029411764705882346,0.029411764705882346,0.0,0.0,-0.02941176470588236,-0.02941176470588236,-0.05882352941176472,-0.05882352941176472,-0.05882352941176472,-0.05882352941176472,-0.05882352941176472,-0.08823529411764705,-0.08823529411764705
TCGA.D5.6898.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.5349.01,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
